sys_mod_count,made_sla,caller_id,opened_by,contact_type,location,category,subcategory,u_symptom,impact,urgency,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,caused_by,closed_code,resolved_by,opened_at,resolution_time_hours,aging_days,priority,sla_breach_flag,created_month
0,True,Caller 2403,Opened by  8,Phone,Location 143,Category 55,Subcategory 170,Symptom 72,2 - Medium,2 - Medium,Group 56,?,True,False,Do Not Notify,?,?,?,code 5,Resolved by 149,2016-02-29 01:16:00,10.21666667,0,3,0,2016-02
0,True,Caller 2403,Opened by  397,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,2 - Medium,2 - Medium,Group 70,Resolver 89,True,False,Do Not Notify,?,?,?,code 5,Resolved by 81,2016-02-29 04:40:00,29.2,1,3,1,2016-02
0,True,Caller 4416,Opened by  8,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 10,Resolved by 5,2016-02-29 06:10:00,20.75,0,3,0,2016-02
0,True,Caller 4491,Opened by  180,Phone,Location 204,Category 9,Subcategory 97,Symptom 450,2 - Medium,2 - Medium,Group 25,Resolver 125,True,False,Do Not Notify,?,?,?,code 3,Resolved by 113,2016-02-29 06:38:00,53.46666667,2,3,1,2016-02
0,True,Caller 3765,Opened by  180,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 7,Resolved by 62,2016-02-29 06:58:00,8.883333333,0,3,0,2016-02
0,True,Caller 2146,Opened by  180,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 7,Resolved by 62,2016-02-29 07:08:00,8.883333333,0,3,0,2016-02
0,True,Caller 2838,Opened by  131,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,2 - Medium,2 - Medium,Group 70,Resolver 78,True,False,Do Not Notify,?,?,?,code 6,Resolved by 71,2016-02-29 07:10:00,80.83333333,3,3,1,2016-02
0,True,Caller 5323,Opened by  131,Phone,Location 108,Category 44,Subcategory 229,Symptom 580,2 - Medium,2 - Medium,Group 5,Resolver 216,True,False,Do Not Notify,?,?,?,code 1,Resolved by 197,2016-02-29 07:38:00,55.71666667,2,3,1,2016-02
0,True,Caller 3796,Opened by  24,Phone,Location 161,Category 55,Subcategory 185,?,2 - Medium,2 - Medium,Group 70,?,True,False,Do Not Notify,?,?,?,code 5,Resolved by 208,2016-02-29 08:03:00,54.56666667,2,3,1,2016-02
0,True,Caller 442,Opened by  180,Phone,Location 143,Category 9,Subcategory 110,Symptom 470,2 - Medium,2 - Medium,Group 70,Resolver 236,True,False,Do Not Notify,?,?,?,code 1,Resolved by 215,2016-02-29 08:03:00,51.13333333,2,3,1,2016-02
