number,incident_state,reassignment_count,reopen_count,sys_mod_count,made_sla,caller_id,opened_by,contact_type,location,category,subcategory,u_symptom,impact,urgency,assignment_group,assigned_to,knowledge,u_priority_confirmation,notify,problem_id,rfc,caused_by,closed_code,resolved_by,opened_at,sys_updated_at,closed_at,final_resolved_at,resolution_time_hours,aging_days,priority,sla_breach_flag,created_month,is_active
INC0000045,New,0,0,0,true,Caller 2403,Opened by  8,Phone,Location 143,Category 55,Subcategory 170,Symptom 72,2 - Medium,2 - Medium,Group 56,?,true,false,Do Not Notify,?,?,?,code 5,Resolved by 149,29-02-2016 01:16,29-02-2016 01:23,05-03-2016 12:00,29-02-2016 11:29,10.21666667,0,3,0,2016-02,1
INC0000047,New,0,0,0,true,Caller 2403,Opened by  397,Phone,Location 165,Category 40,Subcategory 215,Symptom 471,2 - Medium,2 - Medium,Group 70,Resolver 89,true,false,Do Not Notify,?,?,?,code 5,Resolved by 81,29-02-2016 04:40,29-02-2016 04:57,06-03-2016 10:00,01-03-2016 09:52,29.2,1,3,1,2016-02,1
INC0000057,New,0,0,0,true,Caller 4416,Opened by  8,Phone,Location 204,Category 20,Subcategory 125,Symptom 471,2 - Medium,2 - Medium,Group 70,?,true,false,Do Not Notify,?,?,?,code 10,Resolved by 5,29-02-2016 06:10,29-02-2016 06:26,06-03-2016 03:00,01-03-2016 02:55,20.75,0,3,0,2016-02,1
INC0000060,New,0,0,0,true,Caller 4491,Opened by  180,Phone,Location 204,Category 9,Subcategory 97,Symptom 450,2 - Medium,2 - Medium,Group 25,Resolver 125,true,false,Do Not Notify,?,?,?,code 3,Resolved by 113,29-02-2016 06:38,29-02-2016 06:42,07-03-2016 13:00,02-03-2016 12:06,53.46666667,2,3,1,2016-02,1
INC0000062,New,0,0,0,true,Caller 3765,Opened by  180,Phone,Location 93,Category 53,Subcategory 168,Symptom 232,2 - Medium,2 - Medium,Group 70,?,true,false,Do Not Notify,?,?,?,code 7,Resolved by 62,29-02-2016 06:58,29-02-2016 07:26,05-03-2016 16:00,29-02-2016 15:51,8.883333333,0,3,0,2016-02,1
INC0000063,New,0,0,0,true,Caller 2146,Opened by  180,Phone,Location 93,Category 20,Subcategory 125,Symptom 471,2 - Medium,2 - Medium,Group 70,?,true,false,Do Not Notify,?,?,?,code 7,Resolved by 62,29-02-2016 07:08,29-02-2016 07:17,05-03-2016 17:00,29-02-2016 16:01,8.883333333,0,3,0,2016-02,1
INC0000064,New,0,0,0,true,Caller 2838,Opened by  131,Phone,Location 143,Category 53,Subcategory 168,Symptom 580,2 - Medium,2 - Medium,Group 70,Resolver 78,true,false,Do Not Notify,?,?,?,code 6,Resolved by 71,29-02-2016 07:10,29-02-2016 07:14,08-03-2016 17:00,03-03-2016 16:00,80.83333333,3,3,1,2016-02,1
INC0000065,New,0,0,0,true,Caller 5323,Opened by  131,Phone,Location 108,Category 44,Subcategory 229,Symptom 580,2 - Medium,2 - Medium,Group 5,Resolver 216,true,false,Do Not Notify,?,?,?,code 1,Resolved by 197,29-02-2016 07:38,29-02-2016 07:46,07-03-2016 16:00,02-03-2016 15:21,55.71666667,2,3,1,2016-02,1
INC0000066,New,0,0,0,true,Caller 3796,Opened by  24,Phone,Location 161,Category 55,Subcategory 185,?,2 - Medium,2 - Medium,Group 70,?,true,false,Do Not Notify,?,?,?,code 5,Resolved by 208,29-02-2016 08:03,29-02-2016 08:18,07-03-2016 15:00,02-03-2016 14:37,54.56666667,2,3,1,2016-02,1
INC0000067,New,0,0,0,true,Caller 442,Opened by  180,Phone,Location 143,Category 9,Subcategory 110,Symptom 470,2 - Medium,2 - Medium,Group 70,Resolver 236,true,false,Do Not Notify,?,?,?,code 1,Resolved by 215,29-02-2016 08:03,29-02-2016 08:05,07-03-2016 12:00,02-03-2016 11:11,51.13333333,2,3,1,2016-02,1
INC0000070,New,0,0,0,true,Caller 3757,Opened by  131,Phone,Location 46,Category 9,Subcategory 164,Symptom 592,2 - Medium,2 - Medium,Group 70,Resolver 31,true,false,Do Not Notify,?,?,?,code 11,Resolved by 30,29-02-2016 08:11,29-02-2016 08:38,24-03-2016 18:40,08-03-2016 09:55,193.7333333,8,3,1,2016-02,1
INC0000071,New,0,0,0,true,Caller 271,Opened by  180,Phone,Location 161,Category 9,Subcategory 164,Symptom 470,2 - Medium,2 - Medium,Group 24,Resolver 249,true,false,Do Not Notify,?,?,?,code 5,Resolved by 227,29-02-2016 08:12,29-02-2016 08:17,06-03-2016 11:00,01-03-2016 10:38,26.43333333,1,3,1,2016-02,1
INC0000073,Active,0,0,0,true,Caller 2519,Opened by  40,Phone,Location 42,Category 53,Subcategory 271,Symptom 470,2 - Medium,2 - Medium,Group 70,?,true,false,Do Not Notify,Problem ID  2,?,?,code 11,Resolved by 208,29-02-2016 08:22,29-02-2016 08:30,06-03-2016 16:00,01-03-2016 15:37,31.25,1,3,1,2016-02,1
INC0000074,Active,0,0,0,true,Caller 527,Opened by  433,Phone,Location 204,Category 45,Subcategory 220,?,2 - Medium,2 - Medium,Group 66,Resolver 193,true,false,Do Not Notify,?,?,?,code 6,Resolved by 158,29-02-2016 08:23,29-02-2016 08:23,16-04-2016 15:07,11-04-2016 14:39,1014.266667,42,3,1,2016-02,1
INC0000076,New,0,0,0,true,Caller 2949,Opened by  180,Phone,Location 93,Category 42,Subcategory 224,Symptom 470,2 - Medium,2 - Medium,Group 23,?,true,false,Do Not Notify,?,?,?,code 5,Resolved by 62,29-02-2016 08:25,29-02-2016 08:29,05-03-2016 17:00,29-02-2016 16:27,8.033333333,0,3,0,2016-02,1
INC0000077,New,0,0,0,true,Caller 3304,Opened by  180,Phone,Location 108,Category 32,Subcategory 9,Symptom 470,2 - Medium,2 - Medium,Group 70,?,true,false,Do Not Notify,?,?,?,code 6,Resolved by 85,29-02-2016 08:27,29-02-2016 08:27,05-03-2016 10:00,29-02-2016 09:04,0.616666667,0,3,0,2016-02,1
INC0000079,New,0,0,0,true,Caller 2471,Opened by  180,Phone,Location 204,Category 8,Subcategory 291,Symptom 530,2 - Medium,2 - Medium,Group 70,?,true,false,Do Not Notify,?,?,?,code 6,Resolved by 163,29-02-2016 08:32,29-02-2016 08:32,05-03-2016 12:00,29-02-2016 11:20,2.8,0,3,0,2016-02,1
INC0000080,New,0,0,0,true,Caller 1194,Opened by  24,Phone,Location 229,Category 32,Subcategory 9,Symptom 4,2 - Medium,2 - Medium,Group 70,?,true,false,Do Not Notify,?,?,?,code 6,Resolved by 15,29-02-2016 08:33,29-02-2016 08:33,07-03-2016 12:00,02-03-2016 11:40,51.11666667,2,3,1,2016-02,1
INC0000083,New,0,0,0,true,Caller 4866,Opened by  131,Phone,Location 93,Category 24,Subcategory 164,Symptom 583,3 - Low,3 - Low,Group 70,?,true,false,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 62,29-02-2016 08:39,29-02-2016 08:56,05-03-2016 17:00,29-02-2016 16:05,7.433333333,0,4,0,2016-02,1
INC0000084,Active,0,0,0,true,Caller 3038,Opened by  433,Phone,Location 204,Category 45,Subcategory 220,Symptom 253,3 - Low,3 - Low,Group 66,Resolver 175,true,false,Do Not Notify,?,?,?,code 6,Resolved by 158,29-02-2016 08:39,29-02-2016 08:39,17-04-2016 15:07,12-04-2016 14:46,1038.116667,43,4,1,2016-02,1
INC0000085,New,0,0,0,true,Caller 917,Opened by  180,Phone,Location 161,Category 20,Subcategory 125,Symptom 470,2 - Medium,2 - Medium,Group 54,?,true,false,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 208,29-02-2016 08:41,29-02-2016 08:47,07-03-2016 15:00,02-03-2016 14:44,54.05,2,3,1,2016-02,1
INC0000086,New,0,0,0,true,Caller 2403,Opened by  24,Phone,Location 93,Category 24,Subcategory 164,Symptom 471,2 - Medium,2 - Medium,Group 70,?,true,false,Do Not Notify,Problem ID  2,?,?,code 7,Resolved by 62,29-02-2016 08:43,29-02-2016 08:49,06-03-2016 16:00,01-03-2016 15:45,31.03333333,1,3,1,2016-02,1
